clave	concepto	unidad	precio
A	Anteproyectos, proyectos, estudios, trabajos de campo y laboratorio.		
AB	Anteproyectos		
AB12	Anteproyecto de la zona transparente de puentes para vehículos, incluye: planta de localización de apoyos, arroyos, banquetas, perfiles y/o cortes longitudinales del puente, secciones mostrando los elementos estructurales dimensionados, el tipo de refuerzo y pre-esfuerzo en caso de utilizar concreto, se pagará por área comprendida entre los extremos de la zona transparente.		
AB12B	Anteproyecto de la zona transparente de puentes hiperestáticos para vehículos.		
AB12BB	Anteproyecto de la zona transparente de puente hiperestático, primeros 100 m2	m2	136.97
AB12BB	Anteproyecto de la zona transparente de puente hiperestático, primeros 100 m2	m2	136.97
AB12BC	Anteproyecto de la zona transparente de puente hiperestático, de 101 a 500 m2	m2	102.62
AB12BD	Anteproyecto de la zona transparente de puente hiperestático, de 501 a 1000 m2	m2	68.27
AB12BE	Anteproyecto de la zona transparente de puente hiperestático, de 1001 a 5000 m2	m2	33.97
AB12C	Anteproyecto de la zona transparente de puentes isostáticos para vehículos		
AB12CB	Anteproyecto de la zona transparente de puente isostático, primeros 100 m2	m2	109.59
AB12CC	Anteproyecto de la zona transparente de puente isostático, de 101 a 500 m2	m2	82.21
AB12CD	Anteproyecto de la zona transparente de puente isostático, de 501 a 1000 m2	m2	54.79
AB12CE	Anteproyecto de la zona transparente de puente isostático, de 1001 a 5000 m2	m2	27.44
AB14	Anteproyecto de terraplenes de acceso de puentes para vehículos, incluye: planta de localización de arroyos, banquetas, perfiles y/o cortes longitudinales de terraplén mostrando los niveles de relleno y de excavación.		
AB14BB	Anteproyecto de terraplén de acceso, primeros 100 m2	m2	13.73
AB14BC	Anteproyecto de terraplén de acceso, de 101 a 500 m2	m2	10.27
AB14BD	Anteproyecto de terraplén de acceso, de 501 a 1000 m2	m2	6.88
AB14BE	Anteproyecto de terraplén de acceso, de 1001 a 5000 m2	m2	3.42
AB15	Anteproyecto de muros de contención para empujes de tránsito de vehículos, incluye: planta de localización de muros y elementos de protección, así como cortes transversales a lo largo del muro, indicando niveles a cada lado de la corona y del desplante del muro, así como sus dimensiones.		
AB15BB	Anteproyecto de muro de contención, primeros 100 m2	m2	68.32
AB15BC	Anteproyecto de muro de contención, de 101 a 500 m2	m2	51.36
AB15BD	Anteproyecto de muro de contención, de 501 a 1000 m2	m2	34.25
AB15BE	Anteproyecto de muro de contención, de 1001 a 5000 m2	m2	17.11
AB16	Anteproyecto de cajones abiertos, incluye: planta de localización de arroyos y/o vías, muros, así como corte longitudinal mostrando niveles de desplante y paño superior de losa y de coronas de muros, niveles de rasante y cortes transversales.		
AB16BB	Anteproyecto de cajón abierto, primeros 100 m2	m2	82.32
AB16BC	Anteproyecto de cajón abierto, de 101 a 500 m2	m2	61.74
AB16BD	Anteproyecto de cajón abierto, de 501 a 1000 m2	m2	41.13
AB16BE	Anteproyecto de cajón abierto, de 1001 a 5000 m2	m2	20.56
AB17	Anteproyecto de cajones cerrados, incluye : planta de localización de arroyos y/o vías, muros, así como cortes mostrando niveles de desplante, niveles de paño inferior y superior de estructura, niveles de rasante y dimensiones de los elementos estructurales.		
AB17BB	Anteproyecto de cajón cerrado, primeros 100 m2	m2	136.97
AB17BC	Anteproyecto de cajón cerrado, de 101 a 500 m2	m2	102.62
AB17BD	Anteproyecto de cajón cerrado, de 501 a 1000 m2	m2	68.32
AB17BE	Anteproyecto de cajón cerrado, de 1001 a 5000 m2	m2	34.25
AC	Proyectos.		
AC12	Proyecto estructural de la zona transparente de puentes para vehículos, incluye: memoria de cálculo y planos, que indiquen todos los elementos y las etapas de construcción, así como las desvíos necesarios del transito durante la construcción.		
AC12B	Proyecto estructural de la zona transparente de puentes hiperestáticos para vehículos		
AC12BB	Proyecto estructural de la zona transparente de puente hiperestático, primeros 100 m2	m2	310.28
AC12BC	Proyecto estructural de la zona transparente de puente hiperestático, de 101 a 500 m2	m2	251.21
AC12BD	Proyecto estructural de la zona transparente de puente hiperestático, de 501 a 1000 m2	m2	169.75
AC12BE	Proyecto estructural de la zona transparente de puente hiperestático, de 1001 a 5000 m2	m2	84.84
AC12C	Proyecto estructural de la zona transparente de puentes isostáticos, para vehículos		
AC12CB	Proyecto estructural de la zona transparente de puente isostático, primeros 100 m2	m2	271.56
AC12CC	Proyecto estructural de la zona transparente de puente isostático, de 101 a 500 m2	m2	202.64
AC12CD	Proyecto estructural de la zona transparente de puente isostático, de 501 a 1000 m2	m2	135.78
AC12CE	Proyecto estructural de la zona transparente de puente isostático, de 1001 a 5000 m2	m2	67.90
AC14	Proyecto estructural de terraplenes de acceso de puentes para vehículos, incluye: memoria de cálculo y planos, se pagará por área horizontal de arroyo y banquetas comprendida entre los extremos de terraplén.		
AC14BB	Proyecto estructural de terraplén, primeros 100 m2	m2	30.98
AC14BC	Proyecto estructural de terraplén, de 101 a 500 m2	m2	23.21
AC14BD	Proyecto estructural de terraplén, de 501 a 1000 m2	m2	15.49
AC14BE	Proyecto estructural de terraplén, de 1001 a 5000 m2	m2	7.75
AC15	Proyecto estructural de muros de contención para empujes de tránsito de vehículos, incluye: memoria de cálculo y planos, se pagará por área de muro medida del desplante a la corona.		
AC15BB	Proyecto estructural de muro de contención, primeros 100 m2	m2	154.39
AC15BC	Proyecto estructural de muro de contención, de 101 a 500 m2	m2	116.11
AC15BD	Proyecto estructural de muro de contención, de 501 a 1000 m2	m2	76.98
AC15BE	Proyecto estructural de muro de contención, de 1001 a 5000 m2	m2	38.75
AC16	Proyecto estructural de cajones abiertos, incluye: memoria de cálculo y planos, se pagará por área en planta comprendida entre los limites de la estructura.		
AC16BB	Proyecto estructural de cajón abierto, primeros 100 m2	m2	186.26
AC16BC	Proyecto estructural de cajón abierto, de 101 a 500 m2	m2	140.40
AC16BD	Proyecto estructural de cajón abierto, de 501 a 1000 m2	m2	92.44
AC16BE	Proyectoestructural de cajón abierto, de 1001 a 5000 m2	m2	46.54
AC17	Proyecto estructural de cajones cerrados, incluye: memoria de cálculo y planos, se pagará por área en planta comprendida entre los límites de la estructura.		
AC17BB	Proyecto estructural de cajón cerrado, primeros 100 m2	m2	309.75
AC17BC	Proyecto estructural de cajón cerrado, de 101 a 500 m2	m2	232.12
AC17BD	Proyecto estructural de cajón cerrado, de 501 a 1000 m2	m2	154.39
AC17BE	Proyecto estructural de cajón cerrado, de 1001 a 5000 m2	m2	77.41
AC22	Proyecto estructural de la zona transparente de puentes de peatones, incluye: memoria de cálculo y planos que indiquen todos los elementos y etapas de construcción, así como los desvíos de tránsito, se pagará por área.		
AC22B	Proyecto estructural de la zona transparente de puentes hiperestáticos, para peatones.		
AC22BB	Proyecto de la zona transparente de puente hiperestático, primeros 100 m2	m2	567.83
AC22BC	Proyecto de la zona transparente de puente hiperestático, de 101 a 200 m2	m2	295.76
AC22BD	Proyecto de la zona transparente de puente hiperestático, de 201 a 500 m2	m2	149.37
AC22BE	Proyecto de la zona transparente de puente hiperestático, de 501 a 1000 m2	m2	74.68
AC22C	Proyecto estructural de la zona transparente de puentes isostáticos, para peatones.		
AC22CB	Proyecto estructural de la zona transparente de puente isostático, primeros 100 m2	m2	454.22
AC22CC	Proyecto estructural de la zona transparente de puente isostático, de 101 a 200 m2	m2	227.10
AC22CD	Proyecto estructural de la zona transparente de puente isostático, de 201 a 500 m2	m2	109.09
AC22CE	Proyecto estructural de la zona transparente de puente isostático, de 501 a 1000 m2	m2	54.33
AC40	Proyecto vial		
AC40B	Levantamiento topográfico, cálculo de coordenadas y dibujo, que indique trazo de poligonal y detalles de todas las edificaciones, árboles e instalaciones urbanas superficiales en calles o zonas de bajo tránsito vehicular o peatonal		
AC40BB	Levantamiento bajo tránsito primeros 2000 m2	m2	3.62
AC40BC	Levantamiento bajo tránsito de 2001 a 10000 m2	m2	2.74
AC40C	Levantamiento topográfico en calles o zonas de tránsito medio vehicular o peatonal.		
AC40CB	Levantamiento de tránsito medio primeros 2000 m2	m2	4.28
AC40CC	Levantamiento de tránsito medio de 2001 a 10000 m2	m2	3.21
AC40D	Levantamiento topográfico en calles o zonas de tránsito intenso vehicular o peatonal.		
AC40DB	Levantamiento tránsito intenso primeros 2000 m2	m2	4.97
AC40DC	Levantamiento de tránsito intenso de 2001 a 10000 m2	m2	4.24
AD	Mecánica de suelos.		
AD13	Exploración y muestreo de materiales. Norma de Construcción de la Administración Pública de la Ciudad de México, 2.02.01.002.		
AD13B	Muestra inalterada de dimensiones 30 x 30 x 30 cm, extraída de un sondeo en pozo a cielo abierto de 1.50 X 1.50 X 2.00 m de profundidad, incluye: los materiales de consumo para la envoltura y empaque de la muestra, la excavación, mano de obra especializada para el corte, el empaque y registro de datos, el equipo y la herramienta necesarios.		
AD13BB	Muestra inalterada, extraída de un sondeo en pozo a cielo abierto,de 1.50 x 1.50 x 2.00 m de profundidad, en material clase II.	muestra	1,311.71
AD19	Geotecnia.		
AD19B	Trabajos de laboratorio de geotécnia, incluye: la mano de obra, la herramienta, el equipo, reporte, memoria de cálculo, conclusiones y recomendaciones. Norma de Construcción de la Administración Pública de la Ciudad de México 2.02.02.002.		
AD19BB	Clasificación visual y al tacto en material húmedo y seco.	prueba	151.55
AD19BC	Contenido natural de agua.	prueba	147.44
AD19BD	Determinación de los límites líquidos y plásticos.	prueba	323.26
AD19BE	Determinación del límite de contracción.	prueba	323.26
AD19BF	Contracción lineal.	prueba	323.26
AD19CB	Granulometría con mallas.	prueba	646.56
AD19CC	Determinación de finos por lavado.	prueba	646.56
AD19CD	Determinación de finos con hidrómetro.	prueba	862.06
AD19DB	Densidad de sólidos.	prueba	484.92
AD19DC	Determinación de los pesos volumétricos húmedo y seco.	prueba	646.56
AD19EB	Prueba torcómetro de resistencia al corte.	prueba	242.47
AD19EC	Prueba de compresión axial no confinada.	prueba	387.94
AD19FB	Prueba triaxial rápida.	prueba	969.85
AD19FC	Prueba triaxial consolidada rápida.	prueba	969.85
AD19FD	Prueba triaxial lenta.	prueba	969.85
AD19GB	Prueba de consolidación unidimensional estándar con un mínimo de seis incrementos de carga.	prueba	969.85
AD19GC	Prueba de saturación bajo carga, expansibilidad, expansión libre, expansión restringida (serie de tres probetas).	prueba	1,454.77
AD19GK	Prueba de permeabilidad con permeámetro de carga constante.	prueba	1,939.68
AD19GL	Prueba de permeabilidad con permeámetro de carga variable.	prueba	2,909.50
AD19H	Prueba de laboratorio de geotécnia para rocas, incluye: la mano de obra, la herramienta, el equipo, reporte, memoria de cálculo, conclusiones y recomendaciones.		
AD19HB	Prueba de clasificación petrográfica.	prueba	1,385.47
AE	Trabajos de laboratorio, materiales de construcción. Norma de Construcción de la Administración Pública de la Ciudad de México 2.02.02.001.		
AE12C	Servicios de laboratorio de planta en obra, incluye: la mano de obra, la herramienta, el equipo para la toma de muestras, pruebas, reporte y dictamen.		
AE12CA	Servicios de laboratorio tipo "A" para verificación y/o control de compactaciones en terracerías, sub-base y bases.	semana	9,610.69
AE12CB	Servicios de laboratorio tipo "B" para verificación y/o control de pavimentos con equipo de campo.	semana	12,406.79
AE12CC	Servicios de laboratorio tipo "C" para verificación y/o control de pavimentos con equipo de campo.	semana	16,201.83
AE12CD	Servicios de laboratorio tipo "D" para verificación y/o control de concreto hidráulico, con equipo para muestreo.	semana	10,515.63
AE12CE	Servicios de laboratorio tipo "E" para verificación y/o control de producción de concreto hidráulico.	semana	13,122.49
AE12D	Servicios de laboratorio de planta en obra para prueba de compactación de terracerías, incluye: la mano de obra para la toma de muestras, pruebas, reporte, dictamen, la herramienta y el equipo necesarios.		
AE12DB	Servicio de laboratorio para prueba de compactación en terracerías, sub-base o base.	prueba	664.07
AE12DC	Servicio de laboratorio de determinación del peso volumétrico máximo y la humedad óptima.	prueba	635.71
AE12E	Servicios de laboratorio de planta en obra para pavimentos asfálticos, incluye: la mano de obra para la toma de muestras, pruebas, reporte, dictamen, la herramienta y el equipo necesarios.		
AE12EB	Control de aplicación de riegos asfálticos.	m2	1.07
AE12EC	Control de tendido de carpeta asfáltica.	m2	1.07
AE12ED	Muestreo de mezcla asfáltica y elaboración de tres pastillas Marshall.	muestra	403.53
AE12EE	Permeabilidad de carpeta asfáltica.	prueba	182.92
AE12F	Servicios de laboratorio de planta en obra para concretos y morteros hidráulicos, incluye: la mano de obra para la toma de muestras, pruebas, reporte, dictamen, la herramienta y el equipo necesarios.		
AE12FB	Muestreo de concreto y mortero hidráulico.	muestra	87.63
AE12FC	Ensaye de cilindros de concreto y mortero en laboratorio central.	pieza	91.95
AE13B	Servicios de laboratorio por visitas para verificación de grado de compactación, incluye: la mano de obra, la herramienta, el equipo para la toma de muestras, pruebas, reporte, dictamen.		
AE13BB	Visita para verificación de grado de compactación en terracerías, sub-bases y bases con un mínimo de cinco calas y máximo de diez sin determinar peso volumétrico máximo.	visita	1,930.34
AE13BC	Ensaye de verificación de compactación en terracerías, sub-base y base, sin determinar el peso volumétrico máximo.	cala adi	193.04
AE13C	Servicios de laboratorio por visitas para verificación de grado de compactación de carpetas asfálticas, incluye: la mano de obra, la herramienta, el equipo para las pruebas, reporte y dictamen.		
AE13CB	Visita para verificación de grado de compactación y espesor de carpetas asfálticas, con extracción de corazones, mínimo cinco calas y un máximo de diez.	visita	4,150.73
AE13CC	Extracción de corazón adicional y determinación de espesor y grado de compactación en carpeta asfáltica.	pieza	415.07
AE13D	Servicios de laboratorio para determinar permeabilidad en carpeta con máximo de 10 pruebas, incluye: la mano de obra la herramienta, el equipo para las pruebas, reporte y dictamen.		
AE13DB	Visita para determinar permeabilidad en carpeta con un mínimo de cinco pruebas y un máximo de diez.	visita	2,560.99
AE13DC	Permeabilidad en carpeta asfáltica, prueba adicional.	prueba	182.92
AE13E	Servicios de laboratorio por visitas para muestreo de concreto en obra, incluye: la mano de obra, la herramienta y el equipo para las pruebas, reporte y dictamen.		
AE13ED	Visita para muestreo con extracción y prueba a la compresión de corazones de concreto, ya fraguado (máximo tres).	visita	5,341.91
AE13EE	Extracción y prueba a la compresión de corazón de concreto, prueba adicional.	pieza	1,780.57
AE13EF	Visita para efectuar estudios esclerométricos con un mínimo de cinco y un máximo de 10 estudios realizados durante la visita.	visita	2,723.52
AE13EG	Estudio esclerométrico adicional.	estudió	272.35
AE14	Servicios de laboratorio central.		
AE14B	Servicios de laboratorio central para terracerías, sub-bases y bases, incluye: la mano de obra la herramienta y el equipo para la toma de muestras, pruebas y reporte.		
AE14BB	Ensayes completos de terracerías, sub-base y base.	serie	3,612.60
AE14BC	Determinación del peso volumétrico máximo y la humedad óptima.	prueba	701.77
AE14BD	Determinación del valor cementante.	prueba	914.86
AE14BE	Determinación del valor soporte estándar, con uno o dos grados de compactación.	prueba	1,203.56
AE14BF	Granulometría en seco.	análisis	676.57
AE14BG	Determinación de límites de Atterberg.	serie	566.74
AE14C	Servicios en laboratorio central para pavimentos asfálticos, incluye: la mano de obra, la herramienta y el equipo para el muestreo, pruebas y reportes.		
AE14CB	Análisis de cemento asfáltico.	análisis	2,405.79
AE14CC	Análisis de asfaltos rebajados o emulsiones asfálticas.	análisis	2,716.46
AE14CD	Determinación de adherencia del pétreo con asfalto.	prueba	1,517.95
AE14CE	Degradación del pétreo.	prueba	1,339.12
AE14CF	Desgaste según máquina de Los Ángeles.	prueba	3,539.11
AE14CG	Determinación de peso volumétrico del pétreo (suelto y vibrado).	prueba	232.99
AE14CH	Determinación de contenido de asfalto y composición granulométrica de mezcla asfáltica.	muestra	1,695.59
AE14CI	Estabilidad de mezcla asfáltica.	muestra	1,841.97
AE14CJ	Elaboración de probetas Marshall.	muestra	462.90
AE14CK	Pérdida de estabilidad por inmersión.	prueba	3,025.15
AE14CL	Diseño de mezcla asfáltica.	diseño	6,874.77
AE14D	Servicios en laboratorio central para agregados de concreto hidráulico, incluye: la mano de obra, la herramienta y el equipo para el muestreo, pruebas y reportes.		
AE14DB	Determinación de propiedades físicas de agregados (grava o arena), incluye: Granulometría, contenido de materia orgánica, pérdida por lavado, densidad, absorción y peso volumétrico.	muestra	2,685.93
AE14DC	Densidad y absorción (grava o arena).	prueba	769.14
AE14DD	Equivalente de arena.	prueba	531.90
AE14DE	Granulometría en seco de grava o arena.	análisis	970.14
AE14DF	Granulometría por lavado de arena.	prueba	388.05
AE14DG	Sanidad.	prueba	2,948.60
AE14E	Servicios técnicos de laboratorio central para concretos, incluye: la mano de obra, la herramienta y el equipo para el muestreo, pruebas y reportes.		
AE14EB	Diseño de proporcionamiento, incluye la mezcla de pruebas y la prueba a compresión de cinco cilindros.	diseño	2,992.63
AE14F	Servicios técnicos de laboratorio central para pruebas a tensión de varillas de acero, incluye: la mano de obra, la herramienta y el equipo para el muestreo, pruebas y reportes.		
AE14FB	Prueba a la tensión de varillas de acero corrugado de 6.40 a 15.90 mm (1/4" a 5/8") de diámetro.	prueba	447.34
AE14FC	Prueba a la tensión de varillas de acero corrugado de 19.10 a 25.40 mm (3/4" a 1") de diámetro.	prueba	588.06
AE14FD	Prueba a la tensión de varillas de acero corrugado de 31.80 a 38.10 mm (1 1/4" a 1 1/2") de diámetro.	prueba	700.62
AE14FG	Prueba a la tensión de mallas, castillos y trabes electrosoldadas para refuerzo de concreto.	prueba	810.25
AE14H	Servicios técnicos de laboratorio central para pruebas de piezas de materiales utilizados en la construcción, incluye: la mano de obra, la herramienta y el equipo para el muestreo, pruebas y reportes.		
